Provider,num_claims,total_reimbursed,avg_reimbursed,num_beneficiaries,z_total,z_avg,z_claims,flagged_zscore,iso_flag,flagged_isoforest,PotentialFraud
PRV51005,1165,280910,241.1244635193133,495,0.6625571848080426,-0.4303931934666436,3.8975576286774447,True,-1,True,Yes
PRV51030,171,739760,4326.081871345029,145,2.3701484750047483,0.7420466138446125,0.24893814633667896,True,1,False,No
PRV51100,5,78000,15600.0,5,-0.09256398484176366,3.9778185151821592,-0.3603886485009137,True,1,False,No
PRV51102,12,148000,12333.333333333334,11,0.16793811892584976,3.040239574975942,-0.3346941451041477,True,1,False,No
PRV51119,95,1080580,11374.526315789473,81,3.6384960036630054,2.7650485747603124,-0.030030747685351397,True,-1,True,Yes
PRV51121,7,81080,11582.857142857143,7,-0.08110189227598867,2.82484243069533,-0.3530473618161234,True,1,False,No
PRV51126,20,177000,8850.0,14,0.27586041905814673,2.040474276490741,-0.3053289983649866,True,1,False,Yes
PRV51136,1,20000,20000.0,1,-0.30840858510635766,5.240679944847676,-0.3750712218704942,True,1,False,No
PRV51145,202,1606350,7952.227722772277,161,5.59512730506155,1.7828010988694072,0.3627280899509282,True,-1,True,Yes
PRV51146,352,1680910,4775.3125,334,5.872599260160311,0.8709820761066024,0.9133245913101986,True,-1,True,Yes
PRV51149,148,1120680,7572.1621621621625,136,3.7877264945355957,1.6737169767696995,0.16451334946159082,True,-1,True,Yes
PRV51159,569,797790,1402.091388400703,506,2.5861047190281,-0.09717947743253218,1.7098541966099432,True,-1,True,Yes
PRV51160,114,872020,7649.298245614035,110,2.8623485927805277,1.6958561096394338,0.039711475820156196,True,-1,True,No
PRV51170,16,145820,9113.75,16,0.15982533912280122,2.1161742087803503,-0.3200115717345672,True,1,False,Yes
PRV51196,720,197060,273.69444444444446,432,0.35051287908069423,-0.42104515422225963,2.264121341311609,True,1,False,No
PRV51207,3,51000,17000.0,3,-0.1930433677235574,4.379638060984823,-0.36772993518570396,True,1,False,No
PRV51232,1,26000,26000.0,1,-0.28607983335484793,6.962763712573381,-0.3750712218704942,True,-1,True,No
PRV51233,3,27000,9000.0,3,-0.2823583747295963,2.0835263706838836,-0.36772993518570396,True,1,False,No
PRV51236,1,12000,12000.0,1,-0.3381802541083706,2.944568254546736,-0.3750712218704942,True,1,False,No
PRV51237,1,19000,19000.0,1,-0.31213004373160924,4.953665983560058,-0.3750712218704942,True,1,False,No
PRV51238,8,132000,16500.0,8,0.10839478092182382,4.236131080341015,-0.34937671847372825,True,1,False,No
PRV51244,1415,2153990,1522.2544169611308,659,7.633146906594348,-0.06269101060508667,4.815218464276229,True,-1,True,Yes
PRV51248,2,23500,11750.0,2,-0.295383479917977,2.872814764224832,-0.3714005785280991,True,1,False,No
PRV51347,2067,596900,288.7760038703435,947,1.838500895801302,-0.4167165361090377,7.208477923517858,True,-1,True,Yes
PRV51369,2083,601910,288.96303408545367,963,1.8571454035138126,-0.41666285582611845,7.267208216996179,True,-1,True,Yes
PRV51378,161,1215370,7548.88198757764,133,4.140111411760672,1.6670352416427283,0.2122317129127276,True,-1,True,Yes
PRV51390,275,1607260,5844.581818181819,253,5.5985138324105295,1.1778772988012762,0.6306850539457731,True,-1,True,Yes
PRV51393,910,906370,996.010989010989,329,2.9901806965579207,-0.2137302214626318,2.961543576366685,True,-1,True,Yes
PRV51399,211,845070,4005.071090047393,199,2.7620552828299965,0.6499120378883451,0.3957638800324844,True,-1,True,Yes
PRV51421,139,884780,6365.323741007194,135,2.9098344048387386,1.3273375008799178,0.1314775593800346,True,-1,True,Yes
PRV51433,1610,454630,282.37888198757764,862,1.309048977186754,-0.41855259940145007,5.53099391604328,True,-1,True,Yes
PRV51456,135,1038990,7696.222222222223,124,3.483720539438791,1.7093239460451168,0.11679498601045406,True,-1,True,No
PRV51459,8240,2321890,281.78276699029124,2857,8.257979809774094,-0.41872369272820414,29.867359276123036,True,-1,True,Yes
PRV51471,180,1602210,8901.166666666666,173,5.579720466353009,2.055159824176624,0.2819739364182352,True,-1,True,Yes
PRV51480,1924,557880,289.95841995841994,759,1.6932895802439838,-0.41637716618370874,6.6835759255553535,True,-1,True,Yes
PRV51495,141,845690,5997.801418439716,127,2.7643625871776525,1.2218534632182003,0.13881884606482486,True,-1,True,Yes
PRV51501,233,2071310,8889.742489270386,217,7.325456707458543,2.0518809257676653,0.47651803356517736,True,-1,True,Yes
PRV51507,1013,337340,333.01085883514315,726,0.8725590950309915,-0.4040205151586073,3.339619840633384,True,-1,True,Yes
PRV51509,1030,322130,312.747572815534,493,0.8159557093409143,-0.4098363611477993,3.4020207774541014,True,-1,True,No
PRV51523,65,733810,11289.384615384615,65,2.348005796184501,2.7406117180563507,-0.14015004795720548,True,-1,True,No
PRV51539,538,854240,1587.806691449814,488,2.796181058423554,-0.04387659263267647,1.5960642529956939,True,-1,True,Yes
PRV51542,113,964660,8536.814159292035,97,3.207104519823838,1.9505855677299553,0.036040832477761055,True,-1,True,Yes
PRV51560,238,1956190,8219.285714285714,204,6.8970423905195775,1.8594504709071937,0.49487125027715306,True,-1,True,Yes
PRV51567,1632,465400,285.171568627451,827,1.349129086580714,-0.41775105934630496,5.611748069575973,True,-1,True,Yes
PRV51574,4444,1281810,288.4360936093609,1715,4.3873651228223896,-0.41681409509952466,15.933597148391097,True,-1,True,Yes
PRV51578,1500,1662920,1108.6133333333332,1280,5.805650219492034,-0.18141177656840352,5.127223148379815,True,-1,True,Yes
PRV51585,6,77080,12846.666666666666,6,-0.09598772677699516,3.187573408436919,-0.35671800515851854,True,1,False,No
PRV51586,8,72510,9063.75,8,-0.11299479269439507,2.1018235107159695,-0.34937671847372825,True,1,False,Yes
PRV51590,84,781380,9302.142857142857,82,2.5250355829877207,2.1702455889872136,-0.0704078244516979,True,-1,True,Yes
PRV51598,422,779530,1847.2274881516587,399,2.518150884531005,0.030580797869109656,1.1702696252778582,True,-1,True,No
PRV51604,329,697510,2120.091185410334,257,2.2129168480878674,0.10889648851090733,0.8288997944351104,True,1,False,Yes
PRV51614,268,1472150,5493.0970149253735,243,5.095707557552783,1.076996253086245,0.6049905505490072,True,-1,True,Yes
PRV51629,22,213000,9681.818181818182,20,0.4098329295672051,2.279217707925441,-0.29798771168019633,True,1,False,No
PRV51805,3,67000,22333.333333333332,3,-0.13350002971953148,5.910379187852116,-0.36772993518570396,True,-1,True,Yes
PRV51806,1,13000,13000.0,1,-0.33445879548311896,3.2315822158343535,-0.3750712218704942,True,1,False,No
PRV51807,7,98000,14000.0,7,-0.018134812336731265,3.518596177121971,-0.3530473618161234,True,1,False,No
PRV51809,27,242020,8963.703703703704,26,0.517829658872007,2.0731088269038147,-0.2796344949682207,True,1,False,No
PRV51810,3,29000,9666.666666666666,3,-0.2749154574790931,2.2748690115422954,-0.36772993518570396,True,1,False,No
PRV51811,15,199000,13266.666666666666,15,0.35773250881368235,3.308119272177718,-0.3236822150769623,True,1,False,No
PRV51813,10,110000,11000.0,10,0.02652269116628818,2.6575542932591185,-0.34203543178893797,True,1,False,No
PRV51816,7,68000,9714.285714285714,7,-0.12977857109427987,2.288536343032182,-0.3530473618161234,True,1,False,No
PRV51818,29,267000,9206.896551724138,27,0.6107916953307926,2.142908569570977,-0.2722932082834304,True,1,False,Yes
PRV51821,10,138000,13800.0,10,0.13072353267333353,3.4611933848644476,-0.34203543178893797,True,1,False,No
PRV51826,21,265000,12619.047619047618,20,0.6033487780802893,3.122243563915261,-0.3016583550225915,True,1,False,Yes
PRV51828,11,111000,10090.90909090909,11,0.0302441497915398,2.396632510270375,-0.33836478844654283,True,1,False,No
PRV51831,2,28000,14000.0,2,-0.27863691610434466,3.518596177121971,-0.3714005785280991,True,1,False,No
PRV51836,1794,505000,281.4938684503902,644,1.496498848140678,-0.41880661064255137,6.2063922910439855,True,-1,True,Yes
PRV51842,294,1220600,4151.700680272109,223,4.159574640370738,0.6919967774207209,0.7004272774512806,True,-1,True,Yes
PRV51851,472,669490,1418.4110169491526,336,2.108641577408317,-0.09249551619609916,1.353801792397615,True,-1,True,Yes
PRV51860,776,244610,315.21907216494844,351,0.5274682367114087,-0.4091270063292041,2.4696773684857365,True,1,False,No
PRV51868,144,1099710,7636.875,123,3.709687507164069,1.6922904647037003,0.1498307760920103,True,-1,True,Yes
PRV51919,6,101000,16833.333333333332,6,-0.006970436460976403,4.33180240077022,-0.35671800515851854,True,1,False,No
PRV51927,6,64050,10675.0,6,-0.14447833266402377,2.564274755840643,-0.35671800515851854,True,1,False,No
PRV51940,251,1992270,7937.330677290836,227,7.031312617718656,1.778525438834297,0.5425896137282898,True,-1,True,Yes
PRV51948,515,1519950,2951.359223300971,354,5.27359327983981,0.3474820209576842,1.511639456120606,True,-1,True,Yes
PRV51954,643,450930,701.2908242612752,577,1.295279580273323,-0.29831902341878636,1.9814818039471835,False,-1,True,No
PRV51959,751,213350,284.08788282290277,398,0.41113544008604314,-0.41806209230185953,2.377911284925858,True,1,False,No
PRV51976,7,61000,8714.285714285714,7,-0.1558287814710412,2.0015223817445644,-0.3530473618161234,True,1,False,No
PRV51979,13,136000,10461.538461538461,12,0.12328061542283031,2.5030083141042474,-0.3310235017617526,True,1,False,Yes
PRV52001,1177,320620,272.4044180118946,744,0.8103363068167844,-0.42141540981883147,3.941605348786186,True,-1,True,No
PRV52003,154,806950,5239.935064935065,144,2.6201932800354046,1.0043352389722289,0.18653720951596164,True,-1,True,No
PRV52019,1961,5996050,3057.6491585925546,1734,21.93121423232859,0.3779887163307262,6.819389729223973,True,-1,True,Yes
PRV52020,606,1164820,1922.145214521452,577,3.9519916782542026,0.05208323128516586,1.8456680002785633,True,-1,True,Yes
PRV52021,613,1951850,3184.094616639478,570,6.880891260085985,0.41428032813160093,1.8713625036753292,True,-1,True,Yes
PRV52030,2275,681360,299.4989010989011,1179,2.152815291290054,-0.4136389148989894,7.971971738736046,True,-1,True,Yes
PRV52032,627,698640,1114.2583732057417,568,2.2171220963344016,-0.179791571312997,1.9227515104688613,True,-1,True,Yes
PRV52041,1885,604980,320.9442970822281,918,1.868570281493335,-0.40748378684643316,6.540420835201942,True,-1,True,Yes
PRV52059,1287,540810,420.2097902097902,430,1.6297642815109386,-0.37899320444472273,4.345376116449652,True,-1,True,Yes
PRV52063,792,1116210,1409.3560606060605,728,3.771091574480721,-0.09509441508541645,2.5284076619640588,True,-1,True,No
PRV52064,2844,1119680,393.69901547116734,1536,3.784005035910344,-0.38660216691925864,10.060567800558879,True,-1,True,Yes
PRV52065,325,1250280,3847.0153846153844,316,4.270027532368206,0.6045478437681954,0.81421722106553,True,-1,True,Yes
PRV52066,1455,386530,265.65635738831617,630,1.0556176448071186,-0.4233521974294137,4.962044197972034,True,-1,True,Yes
PRV52071,749,259850,346.92923898531376,328,0.5841832661602434,-0.40002574573699995,2.3705699982410677,True,1,False,No
PRV52077,1156,1364150,1180.060553633218,695,4.693790026025608,-0.1609054268471445,3.8645218385958886,True,-1,True,Yes
PRV52085,824,240620,292.0145631067961,747,0.5126196167966548,-0.41578702439371884,2.6458682489207033,True,-1,True,No
PRV52100,201,1533150,7627.611940298508,177,5.322716533693132,1.689631837245131,0.35905744660853306,True,-1,True,Yes
PRV52104,1189,347070,291.9007569386039,663,0.9087688874546898,-0.41581968835287064,3.985653068894928,True,-1,True,No
PRV52114,1269,1418220,1117.5886524822695,633,4.895009293892963,-0.1788357346656467,4.2793045362865385,True,-1,True,Yes
PRV52120,1231,1950720,1584.6628757108042,1098,6.876686011839451,-0.04477891164148804,4.139820089275523,True,-1,True,Yes
PRV52123,256,1447140,5652.890625,219,5.00263387733524,1.1228592501022123,0.5609428304402655,True,-1,True,Yes
PRV52135,263,1825550,6941.254752851711,239,6.410871035716705,1.4926377420177983,0.5866373338370314,True,-1,True,Yes
PRV52141,671,220290,328.301043219076,341,0.4369623629452894,-0.40537229799550906,2.0842598175342473,True,1,False,No
PRV52154,742,194350,261.92722371967653,705,0.3404277262062623,-0.424422510855821,2.344875494844302,True,-1,True,No
PRV52173,119,1381400,11608.403361344537,108,4.757985187311198,2.832174552059316,0.058064692532131874,True,-1,True,Yes
PRV52176,21,312000,14857.142857142857,21,0.7782573334671155,3.764608143939929,-0.3016583550225915,True,1,False,No
PRV52178,136,1379590,10144.04411764706,121,4.751249347199493,2.4118830047775632,0.1204656293528492,True,-1,True,Yes
PRV52195,10,120000,12000.0,10,0.06373727741880438,2.944568254546736,-0.34203543178893797,True,1,False,Yes
PRV52197,10,114000,11400.0,10,0.04140852566729466,2.7723598777741656,-0.34203543178893797,True,1,False,No
PRV52266,37,460400,12443.243243243243,30,1.3305217934544558,3.0717852536039505,-0.2429280615442693,True,-1,True,No
PRV52278,16,235000,14687.5,16,0.4917050193227407,3.715918275507208,-0.3200115717345672,True,1,False,No
PRV52279,83,783300,9437.349397590362,77,2.532180783548204,2.2090517537530467,-0.07407846779409304,True,-1,True,No
PRV52280,41,395000,9634.146341463415,38,1.0871383993629997,2.2655352241833486,-0.22824548817468876,True,1,False,Yes
PRV52281,41,408000,9951.219512195123,41,1.1355173614912708,2.356539650933081,-0.22824548817468876,True,1,False,No
PRV52282,6,77000,12833.333333333334,6,-0.09628544346701529,3.183746555619751,-0.35671800515851854,True,1,False,No
PRV52283,66,594700,9010.60606060606,54,1.8303136868257484,2.0865704581520856,-0.13647940461481034,True,1,False,Yes
PRV52286,5,90000,18000.0,5,-0.04790648133874423,4.666652022272441,-0.3603886485009137,True,1,False,No
PRV52292,25,303000,12120.0,25,0.7447642058398509,2.9790099299012502,-0.28697578165301096,True,1,False,Yes
PRV52307,175,806460,4608.342857142857,167,2.6183697653090316,0.823059457495395,0.2636207197062595,True,-1,True,Yes
PRV52320,366,874200,2388.5245901639346,292,2.870461372583576,0.18594062335116054,0.9647135981037305,True,-1,True,Yes
PRV52337,773,205790,266.22250970245796,226,0.38300121287914085,-0.4231897038110397,2.458665438458551,True,1,False,Yes
PRV52340,1743,2540130,1457.3321858864028,693,9.070150940149007,-0.0813245973214744,6.019189480581834,True,-1,True,Yes
PRV52342,218,652190,2991.697247706422,184,2.044260343191464,0.3590595971328093,0.42145838342925035,True,1,False,No
PRV52347,397,715090,1801.2342569269522,342,2.278340090719791,0.017380098382889304,1.0785035417179798,True,-1,True,Yes
PRV52365,739,202130,273.51826792963465,381,0.36938067431071997,-0.421095719341661,2.3338635648171167,True,1,False,No
PRV52395,912,268430,294.3311403508772,444,0.6161133811649023,-0.4151221343822664,2.9688848630514753,True,-1,True,No
PRV52445,5,102000,20400.0,5,-0.003248977835724783,5.355485529362723,-0.3603886485009137,True,-1,True,Yes
PRV52446,10,129000,12900.0,10,0.09723040504606896,3.202880819705592,-0.34203543178893797,True,1,False,No
PRV52449,6,126000,21000.0,5,0.0860660291703141,5.527693906135293,-0.35671800515851854,True,-1,True,No
PRV52457,9,117000,13000.0,9,0.05257290154304952,3.2315822158343535,-0.3457060751313331,True,1,False,No
PRV52458,1,27000,27000.0,1,-0.2823583747295963,7.249777673860998,-0.3750712218704942,True,-1,True,No
PRV52459,50,505900,10118.0,49,1.4998481609034044,2.40440797940344,-0.19520969809313254,True,1,False,No
PRV52466,13,139000,10692.307692307691,11,0.13444499129858517,2.569242305170621,-0.3310235017617526,True,1,False,No
PRV52511,246,720280,2927.967479674797,196,2.297654460984847,0.34076826395811166,0.5242363970163142,True,1,False,Yes
PRV52536,1,14000,14000.0,1,-0.3307373368578674,3.518596177121971,-0.3750712218704942,True,1,False,No
PRV52537,1,57000,57000.0,1,-0.17071461597204768,15.860196512489523,-0.3750712218704942,True,-1,True,No
PRV52573,587,158670,270.30664395229985,520,0.20764608245728453,-0.42201750026156215,1.7759257767730556,False,-1,True,No
PRV52574,259,1533830,5922.123552123552,208,5.3252471255583025,1.2001328590250033,0.5719547604674509,True,-1,True,Yes
PRV52589,426,832920,1955.2112676056338,368,2.7168395605331894,0.06157365016500349,1.1849521986474387,True,-1,True,Yes
PRV52590,208,1227580,5901.826923076923,190,4.185550421574995,1.1943074431215452,0.384751950005299,True,-1,True,Yes
PRV52605,1000,253880,253.88,401,0.5619661581674913,-0.426732176412973,3.2919014771822472,True,-1,True,No
PRV52627,5,46070,9214.0,5,-0.2113901587460479,2.144947358399434,-0.3603886485009137,True,1,False,No
PRV52628,2098,604120,287.9504289799809,1354,1.8653698270756187,-0.4169534876286603,7.322267867132107,True,-1,True,Yes
PRV52630,434,873470,2012.6036866359448,260,2.8677447077871427,0.07804607569877188,1.2143173453865999,True,-1,True,Yes
PRV52631,1057,321750,304.399243140965,804,0.8145415550633187,-0.4122324483178324,3.50112814769877,True,-1,True,No
PRV52642,436,1328240,3046.422018348624,263,4.560152446792823,0.3747663703353841,1.22165863207139,True,-1,True,Yes
PRV52648,842,255250,303.14726840855104,259,0.567064556484086,-0.4125917825452145,2.7119398290838155,True,1,False,Yes
PRV52649,2156,602190,279.30890538033395,1421,1.858187411928883,-0.4194337255485554,7.535165180991025,True,-1,True,Yes
PRV52652,743,190560,256.47375504710635,503,0.3263233980165587,-0.4259877325022933,2.348546138186697,True,-1,True,Yes
PRV52656,775,239770,309.3806451612903,631,0.509456376965191,-0.41080271639121263,2.4660067251433415,True,-1,True,No
PRV52696,3,96000,32000.0,3,-0.025577729587234505,8.684847480299085,-0.36772993518570396,True,-1,True,No
PRV52804,1,36000,36000.0,1,-0.2488652471023317,9.832903325449555,-0.3750712218704942,True,-1,True,No
PRV52810,6,76000,12666.666666666666,6,-0.10000690209226691,3.135910895405148,-0.35671800515851854,True,1,False,No
PRV52815,26,390000,15000.0,24,1.0685311062367417,3.8056101384095884,-0.2833051383106158,True,-1,True,Yes
PRV52821,713,1822970,2556.760168302945,389,6.401269672463556,0.23422658306235047,2.238426837914843,True,-1,True,Yes
PRV52827,804,282060,350.82089552238807,296,0.6668368622270819,-0.39890878597832335,2.5724553820728002,True,1,False,No
